# цікаві факти — база для ai overlay
# формат: категорія | факт
# ai аналізує кадр камери і вибирає релевантний факт

room|У середньому людина проводить 90% часу в приміщенні. Свіжий повітря підвищує продуктивність на 15%.
room|Пилюка в кімнаті на 80% складається з відмерлої шкіри. Регулярне прибирання знижує алергію.
room|Рослини в кімнаті знижують рівень стресу на 15% і покращують якість повітря.
room|Хаос на столі збільшує рівень кортизолу. Порядок допомагає мозку зосередитись.
room|Синє світло ввечері пригнічує мелатонін. Відключи екрани за годину до сну.
room|Оптимальна температура для сну — 18–20°C. Прохолодна кімната = глибокий сон.
room|Прибирання 15 хвилин на день знижує тривожність. Рух + порядок = спокій.
room|Відкрите вікно на 10 хв знижує CO2 у кімнаті втричі. Мозгу потрібен кисень.
room|Кольори в інтер'єрі впливають на настрій. Синій — спокій, жовтий — енергія.
room|Мінімалізм зменшує когнітивне навантаження. Менше речей = ясніша голова.

desk|Стіл висотою 70–75 см знижує напругу в шиї. Ергономіка = здоров'я.
desk|Кожні 45 хв відволікайся на 5 хв. Метод Помодоро підвищує фокус.
desk|Хаос на столі збільшує час пошуку речей на 30%. Організація економить час.
desk|Два монітори підвищують продуктивність на 20–30%. Але один великий теж добре.
desk|Рослина на столі знижує втому очей на 15%. Зелений колір відпочиває.
desk|Папір і ручка активують інші зони мозку ніж клавіатура. Записуй від руки.
desk|Стопка паперів на столі — це відкладені рішення. Розбери сьогодні.
desk|Кружка з водою на столі нагадує пити. Гідратація покращує концентрацію.
desk|Освітлення зліва (для правші) зменшує тіні. Правильне світло = менше втоми.
desk|Порожній стіл перед роботою — ритуал старту. Мозок любить ритуали.

book|Читання 6 хвилин знижує стрес на 68%. Швидше ніж музика чи прогулянка.
book|Папір vs екран: папір краще для довгих текстів. Мозок інакше обробляє.
book|20 сторінок на день = 36 книг на рік. Маленькі кроки працюють.
book|Записуй думки після читання. Конспект зміцнює пам'ять у 3 рази.
book|Різні жанри тренують різні зони мозку. Чергуй художнє з нон-фікшн.
